feature,importance,model,importance_type,rank
tech_tf_architecture_multi_tier_client_server,5.5001826011627095,BayesianRidge,coef_ (absolute values),64
process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,4.810744351084179,BayesianRidge,coef_ (absolute values),65
functional_size_group_l_1000_2999,4.45307030688816,BayesianRidge,coef_ (absolute values),66
project_prf_application_group_infrastructure_software,3.1694415217360152,BayesianRidge,coef_ (absolute values),67
process_pmf_development_methodologies_multifunctional_teams,2.93655823818939,BayesianRidge,coef_ (absolute values),68
external_eef_organisation_type_telecom,2.5606011459975733,BayesianRidge,coef_ (absolute values),69
process_pmf_prototyping_used_missing,2.426622867017487,BayesianRidge,coef_ (absolute values),70
project_prf_team_size_group_9_14,2.3398907276153587,BayesianRidge,coef_ (absolute values),71
tech_tf_dbms_used_yes,2.2571715929421194,BayesianRidge,coef_ (absolute values),72
project_prf_application_group_mathematically_intensive_application,1.6422452892290949,BayesianRidge,coef_ (absolute values),73
project_prf_team_size_group_5_8,0.5660124000786713,BayesianRidge,coef_ (absolute values),74
external_eef_industry_sector_communication,3.271407007508452e-13,BayesianRidge,coef_ (absolute values),75
