feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
external_eef_organisation_type_banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,0.0,0.0,4.129013173741499e-06,0.0,1.0322532934353746e-06
external_eef_organisation_type_transport_storage,0.0,0.0,2.89496833141786e-06,0.0,7.23742082854465e-07
project_prf_application_type_surveillance and security,0.0,0.0,2.8386965569472804e-06,0.0,7.096741392368201e-07
tech_tf_architecture_multi_tier_with_web_public_interface,0.0,0.0,2.7605394460437973e-06,0.0,6.901348615109493e-07
external_eef_industry_sector_government,0.0,0.0,2.662658375641656e-06,0.0,6.65664593910414e-07
project_prf_team_size_group_Missing,0.0,0.0,2.444587857448443e-06,0.0,6.111469643621108e-07
project_prf_application_type_data or database management,0.0,0.0,2.319613760873977e-06,0.0,5.799034402184943e-07
project_prf_application_type_business application,0.0,0.0,2.2200873831717467e-06,0.0,5.550218457929367e-07
tech_tf_development_platform_pc,0.0,0.0,2.1532921717817837e-06,0.0,5.383230429454459e-07
project_prf_application_type_proposal builder,0.0,0.0,1.835565409859172e-06,0.0,4.58891352464793e-07
project_prf_application_group_business_application,0.0,0.0,1.754381842001753e-06,0.0,4.3859546050043825e-07
project_prf_application_group_infrastructure_software,0.0,0.0,1.739710320655483e-06,0.0,4.3492758016387075e-07
project_prf_team_size_group_2,0.0,0.0,1.499183519056316e-06,0.0,3.74795879764079e-07
external_eef_organisation_type_banking,0.0,0.0,1.3846843330147372e-06,0.0,3.461710832536843e-07
Project_PRF_Team_Size_Group_3_4,0.0,1.0209947813118871e-06,0.0,0.0,2.552486953279718e-07
tech_tf_dbms_used_yes,0.0,0.0,8.661728260994521e-07,0.0,2.1654320652486303e-07
project_prf_application_type_auditing management,0.0,0.0,5.904104066362646e-07,0.0,1.4760260165906616e-07
tech_tf_language_type_4GL,0.0,0.0,5.722965869510987e-07,0.0,1.4307414673777467e-07
project_prf_cost_currency_european__euro,0.0,0.0,3.871655572596082e-07,0.0,9.679138931490205e-08
tech_tf_web_development_web,0.0,0.0,3.726184543563285e-07,0.0,9.315461358908213e-08
project_prf_application_type_security controls,0.0,0.0,2.910381435958964e-07,0.0,7.27595358989741e-08
project_prf_relative_size_xs,0.0,0.0,2.696285333685885e-07,0.0,6.740713334214712e-08
external_eef_organisation_type_community services; government; public administration,0.0,0.0,2.640208634811692e-07,0.0,6.60052158702923e-08
project_prf_team_size_group_5_8,0.0,0.0,2.4505957489435905e-07,0.0,6.126489372358976e-08
tech_tf_client_server_no,0.0,0.0,1.9153049025340915e-07,0.0,4.788262256335229e-08
external_eef_industry_sector_education,0.0,0.0,1.4674765259470257e-07,0.0,3.668691314867564e-08
tech_tf_architecture_stand_alone,0.0,0.0,1.4323149705907117e-07,0.0,3.5807874264767794e-08
