feature,importance,model,importance_type,rank
external_eef_industry_sector_manufacturing,0.0,GradientBoostingRegressor,feature_importances_,91
external_eef_organisation_type_public sector,0.0,GradientBoostingRegressor,feature_importances_,92
project_prf_application_type_content management system; dynamic website,0.0,GradientBoostingRegressor,feature_importances_,93
project_prf_team_size_group_61_70,0.0,GradientBoostingRegressor,feature_importances_,94
project_prf_team_size_group_3_4,0.0,GradientBoostingRegressor,feature_importances_,95
project_prf_application_type_business application,0.0,GradientBoostingRegressor,feature_importances_,96
external_eef_industry_sector_financial,0.0,GradientBoostingRegressor,feature_importances_,97
tech_tf_client_server_yes,0.0,GradientBoostingRegressor,feature_importances_,98
project_prf_application_type_project management,0.0,GradientBoostingRegressor,feature_importances_,99
external_eef_industry_sector_medical & health care,0.0,GradientBoostingRegressor,feature_importances_,100
external_eef_organisation_type_banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,0.0,GradientBoostingRegressor,feature_importances_,101
external_eef_organisation_type_aerospace / automotive,0.0,GradientBoostingRegressor,feature_importances_,102
tech_tf_server_roles_Missing,0.0,GradientBoostingRegressor,feature_importances_,103
tech_tf_server_roles_security/authentication,0.0,GradientBoostingRegressor,feature_importances_,104
project_prf_application_type_clinical archive,0.0,GradientBoostingRegressor,feature_importances_,105
external_eef_industry_sector_service industry,0.0,GradientBoostingRegressor,feature_importances_,106
tech_tf_server_roles_database server; file &/or print server; html/web server; multi-user legacy application,0.0,GradientBoostingRegressor,feature_importances_,107
tech_tf_server_roles_html/web server; multi-user legacy application,0.0,GradientBoostingRegressor,feature_importances_,108
tech_tf_server_roles_database server; file &/or print server; html/web server; mail server; security/authentication,0.0,GradientBoostingRegressor,feature_importances_,109
project_prf_application_type_customer billing/relationship management,0.0,GradientBoostingRegressor,feature_importances_,110
project_prf_application_group_infrastructure_software,0.0,GradientBoostingRegressor,feature_importances_,111
project_prf_relative_size_xxs,0.0,GradientBoostingRegressor,feature_importances_,112
project_prf_application_group_real_time_application,0.0,GradientBoostingRegressor,feature_importances_,113
project_prf_application_type_idm,0.0,GradientBoostingRegressor,feature_importances_,114
project_prf_application_type_course management,0.0,GradientBoostingRegressor,feature_importances_,115
"external_eef_organisation_type_art , events , ticketing",0.0,GradientBoostingRegressor,feature_importances_,116
project_prf_application_type_data warehouse system; financial transaction process/accounting; management or performance reporting,0.0,GradientBoostingRegressor,feature_importances_,117
tech_tf_primary_programming_language_javascript,0.0,GradientBoostingRegressor,feature_importances_,118
project_prf_relative_size_m1,0.0,GradientBoostingRegressor,feature_importances_,119
project_prf_application_type_mathematical modelling finance or eng; software development tool,0.0,GradientBoostingRegressor,feature_importances_,120
project_prf_application_type_surveillance and security,0.0,GradientBoostingRegressor,feature_importances_,121
project_prf_cost_currency_european__euro,0.0,GradientBoostingRegressor,feature_importances_,122
